strain,date,image,bit,mt,cp,Venus mean,Venus sd,MitoTracker mean,MitoTracker sd,Chloroplast mean,Chloroplast sd
34,20190705,6,16,no,yes,1414.24,514.868,9970.483,3273.475,5250.733,2844.282
34,20190705,4,16,no,yes,1559.143,744.743,5374.677,2234.09,5320.037,2595.534
34,20190705,3,16,no,yes,1426.79,545.224,5282.011,2349.593,3562.977,1603.429
34,20190705,2,16,no,yes,1900.193,1487.351,3672.13,1688.218,5175.381,2267.961
34,20190705,1,16,no,yes,1426.858,564.09,10290.924,3079.597,4655.174,1584.105
17,20190909,27,8,no,no,9.8,5.316,75.109,17.578,25.215,4.992
17,20190909,26,8,no,no,10.912,6.682,81.312,19.293,29.123,8.593
17,20190909,25,8,no,no,10.781,7.905,85.703,19.736,24.835,7.355
17,20190909,24,8,no,no,9.731,5.464,73.962,18.051,27.158,6.46
17,20190909,21,8,no,no,7.931,5.569,47.653,13.69,20.205,5.259
17,20190909,20,8,no,no,9.228,6.926,39.959,13.383,19.363,6.184
17,20190909,19,8,no,no,7.852,5.293,55.847,14.593,27.37,6.873
17,20190909,18,8,no,no,8.456,6.179,44.926,13.863,20.635,5.113
17,20190909,17,8,no,no,7.992,5.627,19.231,8.943,24.105,5.183
17,20190909,16,8,no,no,7.762,4.022,62.98,16.492,19.762,4.962
17,20190909,13,8,no,no,7.092,3.734,53.164,14.794,28.731,6.169
17,20190909,12,8,no,no,8.838,6.131,49.68,13.537,18.279,4.404
17,20190909,10,8,no,no,6.316,5.303,63.71,16.253,28.291,6.303
17,20190909,9,8,no,no,7.163,6.351,91.835,19.918,27.031,6.1
17,20190909,7,8,no,no,8.585,8.33,76.382,17.713,20.262,8.764
17,20190909,6,8,no,no,7.151,5.811,35.845,11.506,26.076,7.582
17,20190909,5,8,no,no,7.586,7.379,51.332,14.851,28.082,6.349
17,20190909,4,8,no,no,6.807,6.035,45.902,14.221,28.586,7.619
17,20190909,3,8,no,no,8.047,8.152,39.784,13.055,28.64,6.768
17,20190909,1,8,no,no,7.389,6.282,56.723,15.556,30.236,8.003
17,20190822,19,16,no,no,2092.18,2173.808,4961.683,2263.791,14651.798,3054.944
17,20190822,18,16,no,no,3020.926,2711.57,4307.549,1978.269,20180.251,4774.596
17,20190822,17,16,no,no,4086.23,3009.596,4961.84,2374.939,16315.265,3356.172
17,20190822,16,16,no,no,2974.073,2821.8,6417.275,2710.124,11412.115,1881.499
17,20190822,15,16,no,no,3772.687,3375.075,6053.728,2648.381,14564.51,2585.11
17,20190822,14,16,no,no,2455.73,2172.778,3950.087,2094.662,10525.498,2589.85
17,20190822,13,16,no,no,1841.171,1471.876,2879.167,1526.555,12882.361,3746.918
17,20190822,12,16,no,no,2440.658,1732.128,3289.765,1859.333,13592.796,3148.337
17,20190822,11,16,no,no,1590.271,1118.319,2578.618,1426.326,10702.52,2428.93
17,20190822,10,16,no,no,2954.73,2667.658,2947.472,1551.563,12190.978,3156.284
17,20190822,9,16,no,no,3839.411,2401.53,6708.968,2649.176,14388.677,3015.276
17,20190822,8,16,no,no,2851.72,2633.382,7810.493,2707.041,12272.586,1605.849
17,20190822,7,16,no,no,2132.676,2008.214,3946.341,2086.855,13326.543,3910.024
17,20190822,6,16,no,no,2582.189,2618.048,2113.803,1296.638,12529.388,2542.601
17,20190822,5,16,no,no,2671.023,2416.179,6330.181,2470.01,12953.723,1686.476
17,20190822,4,16,no,no,1698.726,1258.703,3179.27,1610.719,11551.762,2526.948
17,20190822,3,16,no,no,2855.594,1990.742,4672.407,2222.805,10479.9,3917.676
17,20190822,2,16,no,no,2008.818,1592.142,1675.15,1087.467,11848.991,2102.281
17,20190822,1,16,no,no,3144.472,2615.81,1645.477,1042.384,10389.256,2590.448
17,20190416,2,16,no,no,2571.244,1723.633,11229.364,3378.571,9306.029,1535.886
17,20190416,1,16,no,no,2317.486,1490.944,8999.553,3379.454,13631.297,2626.396
611,20190909,30,8,no,no,8.082,3.883,27.656,12.047,8.5,2.304
611,20190909,29,8,no,no,9.622,6.474,15.263,7.212,6.102,2.221
611,20190909,28,8,no,no,7.727,3.503,24.599,10.226,7.835,5.307
611,20190909,27,8,no,no,7.972,4.027,13.523,7.263,4.237,2.027
611,20190909,26,8,no,no,8.005,4.203,21.444,9.131,8.225,3.955
611,20190909,25,8,no,no,8.31,4.271,19.22,8.662,6.337,2.892
611,20190909,24,8,no,no,7.416,2.915,40.214,14.344,7.54,3.065
611,20190909,23,8,no,no,7.441,3.301,29.091,11.569,8.344,4.224
611,20190909,22,8,no,no,7.366,2.934,23.529,9.806,6.313,2.842
611,20190909,21,8,no,no,7.814,3.695,26.319,10.061,7.741,2.979
611,20190909,20,8,no,no,7.927,3.796,29.865,10.808,5.67,2.388
611,20190909,19,8,no,no,7.358,3.029,17.708,8.775,6.222,3.026
611,20190909,18,8,no,no,7.441,3.261,19.243,8.806,9.597,2.632
611,20190909,17,8,no,no,7.238,2.954,15.356,7.463,9.486,2.375
611,20190909,16,8,no,no,7.915,4.423,19.55,8.982,7.442,2.467
611,20190909,15,8,no,no,6.989,2.415,29.627,12.412,7.193,2.244
611,20190909,14,8,no,no,7.96,3.562,35.732,11.901,6.177,2.975
611,20190909,13,8,no,no,9.12,6.431,26.756,10.192,8.978,2.183
611,20190909,12,8,no,no,7.649,3.28,28.423,11.066,8.291,2.476
611,20190909,11,8,no,no,8.204,4.137,27.622,11.08,9.767,2.669
611,20190909,10,8,no,no,7.613,3.649,29.161,11.005,5.46,2.118
611,20190909,9,8,no,no,7.537,3.816,19.094,8.595,7.483,2.228
611,20190909,8,8,no,no,7.354,3.304,23.622,9.448,8.669,2.377
611,20190909,7,8,no,no,6.638,1.95,34.277,11.777,9.534,3.586
611,20190909,6,8,no,no,8.053,3.988,34.458,11.918,7.56,2.2
611,20190909,5,8,no,no,7.358,2.94,44.182,13.126,8.69,2.381
611,20190909,4,8,no,no,7.944,4.123,15.914,7.681,6.066,1.936
611,20190909,3,8,no,no,7.088,2.755,14.73,7.538,7.017,2.333
611,20190909,2,8,no,no,6.782,2.31,20.385,8.899,8.107,2.241
611,20190909,1,8,no,no,7.083,2.73,37.579,13.03,7.07,2.013
611,20190416,9,16,no,no,2105.994,1478.986,7228.389,2972.999,2949.324,644.073
611,20190416,8,16,no,no,3136.018,2270.259,7305.174,2618.297,3009.219,852.213
611,20190416,7,16,no,no,2049.248,1325.048,6407.82,2857.566,3036.035,721.215
611,20190416,6,16,no,no,2807.58,2121.276,5071.019,2422.265,3795.3,922.974
611,20190416,5,16,no,no,1885.115,1068.927,6211.66,2557.344,3222.36,836.097
611,20190416,4,16,no,no,2362.725,1576.133,6813.39,2800.809,2885.49,707.705
611,20190416,3,16,no,no,2106.289,1453.859,9074.423,3611.674,2128.28,578.909
611,20190416,2,16,no,no,1797.521,1038.553,6802.568,2775.255,3356.467,791.216
611,20190416,1,16,no,no,1607.735,863.045,6613.21,3086.781,2454.044,598.504
121,Restack,7,16,no,yes,2203.366,333.267,2937.7,1528.677,9865.84,2413.493
121,Restack,6,16,no,yes,2515.068,1199.343,17424.81,4648.55,8548.186,2013.598
121,Restack,5,16,no,yes,3474.159,801.746,4497.092,1930.027,16574.526,4649.924
121,Restack,4,16,no,yes,3904.093,1218.328,14654.949,4304.097,14568.598,3482.229
121,Restack,3,16,no,yes,3797.292,1218.274,14063.779,4259.051,19372.47,6121.463
121,Restack,2,16,no,yes,2349.952,744.115,7364.91,2786.521,5852.775,1365.919
121,Restack,1,16,no,yes,3774.851,1013.202,8335.483,3249.46,17917.339,5082.048
121,20190705,34,16,no,yes,2497.818,1231.999,2834.766,1520.378,12853.486,2183.508
121,20190705,33,16,no,yes,2448.853,1150.286,15005.378,4462.12,15231.146,3895.28
121,20190705,32,16,no,yes,2218.829,684.122,2907.783,1571.55,13697.591,2327.979
121,20190705,31,16,no,yes,2287.364,798.671,2908.417,1547.551,8241.623,1783.476
121,20190705,30,16,no,yes,2128.002,546.311,3502.965,1705.866,7561.163,2282.913
121,20190705,28,16,no,yes,2192.363,646.664,7985.03,2910.892,8839.781,2306.162
121,20190705,27,16,no,yes,2223.339,685.612,4543.041,2019.8,9791.104,3442.528
121,20190705,26,16,no,yes,2266.927,721.029,9029.77,2945.281,11316.961,1860.832
121,20190705,25,16,no,yes,2210.875,595.728,6054.189,2303.197,11180.607,2018.034
121,20190705,24,16,no,yes,2264.771,641.39,7792.946,2595.448,8360.677,1818.081
121,20190705,23,16,no,yes,2328.199,648.233,6732.654,2444.748,14925.499,2652.522
121,20190705,21,16,no,yes,2250.963,560.517,7114.431,2555.003,5505.368,1529.44
121,20190705,19,16,no,yes,2623.2,1172.676,3037.53,1479.129,10105.771,1679.671
121,20190705,18,16,no,yes,2363.431,679.297,12745.039,3814.251,7805.951,1708.882
121,20190705,17,16,no,yes,2366.092,705.116,2418.038,1268.572,11620.102,2462.746
121,20190705,16,16,no,yes,2393.943,793.026,1569.399,827.463,8865.606,1832.803
121,20190705,14,16,no,yes,3927.112,1426.761,1904.895,1033.418,7423.561,2427.499
121,20190705,13,16,no,yes,3889.577,1686.837,8202.73,2764.028,14173.357,3694.504
121,20190705,11,16,no,yes,3572.14,913.131,16682.434,4374.141,15679.622,6355.106
121,20190705,10,16,no,yes,3587.532,891.023,9438.436,2958.916,7990.48,2981.724
121,20190705,9,16,no,yes,3770.903,1037.455,6485.199,2202.024,9511.758,3110.297
121,20190705,8,16,no,yes,3824.638,1394.091,10962.698,3013.464,12030.245,4066.522
121,20190705,7,16,no,yes,3588.468,816.28,7998.889,3064.873,10438.982,4074.741
121,20190705,6,16,no,yes,3881.324,1361.303,7520.389,2265.921,13950.027,4307.483
121,20190705,5,16,no,yes,4305.164,1872.042,6075.577,2258.712,12286.449,3142.194
121,20190705,3,16,no,yes,3976.78,1196.232,5966.206,2235.201,15467.628,5830.176
101,20190628,8,16,yes,no,1152.576,1044.923,2612.577,1456.442,2102.101,625.807
101,20190628,7,16,yes,no,1713.228,2563.776,1784.821,1117.418,1922.384,517.444
101,20190628,6,16,yes,no,1159.315,1431.068,21276.592,7548.392,3973.631,975.395
101,20190628,5,16,yes,no,1147.974,1208.772,14738.566,5805.524,3487.195,904.558
101,20190628,4,16,yes,no,1420.613,1607.302,2265.813,1308.095,4039.359,845.485
101,20190628,3,16,yes,no,3475.208,4849.618,7437.558,3052.858,4896.737,1128.452
101,20190628,1,16,yes,no,2115.159,2656.275,2329.118,1424.133,2970.551,817.784
101,20190522,25,16,yes,no,2962.967,1184.992,3826.568,1830.306,2674.494,1027.563
101,20190522,24,16,yes,no,2815.827,1078.938,6648.52,3063.421,3572.453,1313.872
101,20190522,23,16,yes,no,2960.137,1228.907,3223.189,1688.288,2720.632,1012.94
101,20190522,20,16,yes,no,2815.372,1011.568,9071.878,3575.631,2855.659,849.849
101,20190522,19,16,yes,no,2894.21,1274.843,3803.534,1768.103,3800.882,1364.991
101,20190522,18,16,yes,no,3357.756,2013.062,4487.034,2046.693,2867.477,816.649
101,20190522,17,16,yes,no,4015.483,2712.875,6934.795,2671.431,6164.744,1789.918
101,20190522,16,16,yes,no,2746.917,1322.859,8018.292,3186.516,5754.556,1517.229
101,20190522,15,16,yes,no,2375.602,2033.303,5607.318,2219.922,3979.844,1420.462
101,20190522,14,16,yes,no,2250.075,1919.993,4123.151,2038.571,3902.262,1079.818
101,20190522,13,16,yes,no,2980.416,2578.901,4355.818,2017.835,4831.522,1348.975
101,20190522,12,16,yes,no,3723.315,3389.511,4139.74,1947.646,3656.494,953.017
101,20190522,11,16,yes,no,1891.737,1727.951,15590.145,3969.67,5227.556,1220.356
101,20190522,10,16,yes,no,1546.678,918.516,20651.346,4844.684,5715.3,1247.595
101,20190522,9,16,yes,no,2193.465,2100.122,4637.02,1966.73,5719.115,1867.625
101,20190522,8,16,yes,no,1485.256,891.743,3606.638,1883.487,4089.73,1199.081
